squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,hasStormProtector,basement,attic,garage,hasGuestRoom
41792.0,43.0,1.0,1.0,10.0,80768.0,9.0,5.0,1.0,2950.0,9573.0,572.0,5.0
28795.0,64.0,1.0,1.0,50.0,97667.0,3.0,4.0,1.0,9862.0,2666.0,330.0,0.0
92383.0,12.0,0.0,0.0,78.0,71982.0,3.0,7.0,0.0,7507.0,9056.0,892.0,1.0
33279.0,64.0,1.0,0.0,65.0,91690.0,3.0,2.0,1.0,2427.0,717.0,732.0,1.0
34782.0,47.0,0.0,0.0,73.0,35331.0,1.0,4.0,1.0,9586.0,6604.0,822.0,2.0
13386.0,51.0,0.0,0.0,90.0,87978.0,4.0,6.0,0.0,2885.0,1149.0,904.0,4.0
20883.0,56.0,0.0,0.0,54.0,85377.0,5.0,9.0,0.0,9982.0,8142.0,670.0,10.0
95121.0,46.0,0.0,1.0,3.0,9382.0,7.0,9.0,0.0,615.0,1221.0,328.0,10.0
6071.0,72.0,1.0,0.0,14.0,8410.0,2.0,6.0,1.0,3306.0,3635.0,295.0,2.0
11844.0,43.0,0.0,0.0,55.0,46144.0,6.0,5.0,0.0,5292.0,8233.0,395.0,10.0
52078.0,7.0,1.0,1.0,73.0,20372.0,10.0,4.0,1.0,1864.0,2049.0,558.0,5.0
25897.0,98.0,1.0,0.0,92.0,20344.0,2.0,4.0,1.0,9799.0,9569.0,116.0,10.0
85443.0,40.0,1.0,1.0,54.0,339.0,3.0,1.0,0.0,3056.0,8928.0,292.0,2.0
11412.0,78.0,0.0,0.0,79.0,73807.0,1.0,5.0,1.0,6899.0,8997.0,695.0,0.0
97550.0,89.0,1.0,1.0,98.0,78155.0,2.0,5.0,0.0,5391.0,897.0,388.0,0.0
76485.0,47.0,1.0,0.0,9.0,90254.0,2.0,9.0,0.0,2860.0,3129.0,982.0,1.0
26169.0,29.0,0.0,0.0,62.0,66489.0,9.0,7.0,1.0,7918.0,187.0,919.0,9.0
24239.0,87.0,1.0,0.0,91.0,73056.0,4.0,7.0,0.0,6656.0,7149.0,698.0,3.0
36239.0,8.0,0.0,1.0,24.0,66771.0,7.0,6.0,1.0,6679.0,6528.0,798.0,5.0
10500.0,88.0,0.0,1.0,49.0,10533.0,10.0,1.0,1.0,4170.0,5501.0,422.0,5.0
87060.0,27.0,0.0,1.0,91.0,51803.0,8.0,10.0,0.0,6629.0,435.0,512.0,7.0
66683.0,19.0,1.0,1.0,6.0,50801.0,6.0,2.0,0.0,7473.0,796.0,237.0,3.0
66569.0,59.0,1.0,1.0,56.0,15574.0,7.0,9.0,1.0,2020.0,7188.0,269.0,10.0
84559.0,29.0,0.0,1.0,69.0,53057.0,7.0,7.0,0.0,3573.0,9556.0,918.0,8.0
28749.0,39.0,0.0,1.0,53.0,80821.0,6.0,5.0,0.0,8113.0,2352.0,982.0,3.0
76091.0,38.0,1.0,0.0,32.0,59451.0,5.0,8.0,0.0,8150.0,6037.0,930.0,7.0
92696.0,49.0,1.0,0.0,38.0,74381.0,9.0,2.0,0.0,1559.0,5111.0,957.0,2.0
46988.0,66.0,1.0,1.0,27.0,4863.0,9.0,10.0,1.0,8339.0,6331.0,874.0,4.0
48062.0,22.0,0.0,1.0,4.0,28104.0,1.0,10.0,0.0,7908.0,552.0,817.0,1.0
5767.0,97.0,1.0,1.0,11.0,44551.0,7.0,3.0,0.0,2516.0,5601.0,307.0,4.0
59800.0,47.0,0.0,1.0,27.0,44815.0,6.0,9.0,0.0,5075.0,3104.0,864.0,4.0
54836.0,25.0,0.0,1.0,53.0,64601.0,10.0,5.0,0.0,5278.0,1059.0,313.0,6.0
54318.0,10.0,1.0,1.0,52.0,76737.0,4.0,2.0,1.0,9580.0,3787.0,227.0,1.0
70021.0,52.0,1.0,0.0,28.0,95678.0,4.0,6.0,1.0,4480.0,6919.0,680.0,1.0
54368.0,11.0,1.0,1.0,20.0,55761.0,3.0,7.0,0.0,231.0,1939.0,223.0,8.0
31421.0,29.0,0.0,1.0,68.0,67505.0,5.0,3.0,1.0,8949.0,2080.0,630.0,5.0
63053.0,6.0,1.0,1.0,28.0,45312.0,3.0,1.0,1.0,8414.0,6270.0,939.0,8.0
4187.0,89.0,0.0,1.0,17.0,7488.0,1.0,6.0,0.0,186.0,2627.0,559.0,2.0
33108.0,82.0,0.0,1.0,83.0,52015.0,6.0,10.0,0.0,6250.0,8751.0,552.0,2.0
64393.0,8.0,0.0,0.0,51.0,95335.0,4.0,1.0,0.0,3835.0,2403.0,559.0,6.0
93876.0,60.0,0.0,1.0,70.0,5484.0,2.0,1.0,1.0,4086.0,5991.0,494.0,8.0
67040.0,60.0,1.0,1.0,22.0,1690.0,4.0,8.0,0.0,4817.0,5222.0,927.0,0.0
47938.0,17.0,0.0,0.0,68.0,64247.0,7.0,1.0,1.0,327.0,209.0,352.0,8.0
39090.0,57.0,1.0,0.0,74.0,2922.0,4.0,9.0,0.0,3572.0,8722.0,811.0,6.0
43609.0,66.0,0.0,0.0,55.0,6739.0,4.0,9.0,1.0,3388.0,2353.0,120.0,7.0
41998.0,74.0,1.0,0.0,17.0,32039.0,6.0,1.0,0.0,6838.0,4925.0,828.0,9.0
36496.0,9.0,0.0,1.0,47.0,51526.0,5.0,1.0,1.0,2768.0,6291.0,230.0,0.0
84016.0,15.0,1.0,0.0,55.0,63595.0,1.0,7.0,0.0,3284.0,9879.0,641.0,2.0
3087.0,27.0,1.0,1.0,94.0,9283.0,3.0,10.0,1.0,5866.0,3557.0,199.0,1.0
89768.0,48.0,1.0,1.0,17.0,71000.0,6.0,9.0,1.0,2485.0,108.0,864.0,7.0
30226.0,74.0,1.0,1.0,87.0,71053.0,10.0,9.0,0.0,515.0,13.0,223.0,4.0
58478.0,5.0,0.0,1.0,35.0,5898.0,6.0,10.0,0.0,8366.0,4799.0,979.0,7.0
66621.0,48.0,0.0,0.0,89.0,52165.0,10.0,1.0,1.0,5024.0,8103.0,388.0,4.0
73314.0,43.0,0.0,1.0,38.0,49895.0,10.0,1.0,1.0,3281.0,5020.0,968.0,8.0
59972.0,28.0,0.0,1.0,18.0,32083.0,9.0,8.0,1.0,8384.0,7226.0,226.0,4.0
71591.0,20.0,1.0,0.0,58.0,46834.0,7.0,4.0,0.0,6486.0,3310.0,366.0,0.0
92462.0,52.0,1.0,1.0,46.0,22405.0,9.0,6.0,0.0,9584.0,8587.0,677.0,8.0
52325.0,60.0,1.0,1.0,24.0,76804.0,6.0,5.0,0.0,8987.0,3149.0,808.0,4.0
67311.0,67.0,0.0,0.0,10.0,45626.0,3.0,3.0,1.0,6928.0,7808.0,774.0,5.0
45050.0,99.0,0.0,1.0,87.0,20318.0,4.0,8.0,0.0,5218.0,8217.0,144.0,3.0
61534.0,73.0,1.0,0.0,97.0,22943.0,9.0,5.0,0.0,9265.0,8974.0,755.0,6.0
84091.0,50.0,0.0,1.0,72.0,22718.0,7.0,5.0,0.0,2668.0,4669.0,766.0,8.0
77579.0,69.0,1.0,1.0,97.0,88798.0,6.0,1.0,0.0,4850.0,5648.0,144.0,8.0
25204.0,31.0,1.0,1.0,37.0,87552.0,4.0,10.0,0.0,6560.0,4287.0,116.0,6.0
42059.0,46.0,0.0,1.0,62.0,43289.0,6.0,3.0,1.0,8827.0,1853.0,860.0,3.0
38430.0,43.0,0.0,1.0,51.0,3406.0,6.0,4.0,1.0,1214.0,606.0,289.0,8.0
7069.0,4.0,0.0,0.0,89.0,55300.0,9.0,2.0,1.0,7499.0,8969.0,493.0,3.0
34780.0,75.0,0.0,1.0,9.0,67297.0,4.0,5.0,1.0,3033.0,6475.0,800.0,4.0
12757.0,100.0,1.0,0.0,7.0,19550.0,7.0,8.0,1.0,6795.0,9983.0,738.0,5.0
33749.0,74.0,0.0,1.0,38.0,73976.0,10.0,7.0,1.0,1729.0,7952.0,616.0,2.0
600.0,37.0,1.0,0.0,43.0,72736.0,4.0,7.0,0.0,6738.0,5603.0,866.0,1.0
7239.0,61.0,1.0,0.0,83.0,26435.0,4.0,7.0,0.0,7782.0,2518.0,986.0,4.0
34919.0,20.0,1.0,1.0,84.0,60113.0,5.0,1.0,0.0,6566.0,628.0,408.0,2.0
25614.0,29.0,0.0,0.0,27.0,52970.0,4.0,1.0,0.0,700.0,377.0,519.0,9.0
51434.0,64.0,0.0,0.0,23.0,79754.0,10.0,2.0,1.0,2080.0,9575.0,753.0,7.0
78960.0,55.0,0.0,1.0,76.0,23408.0,8.0,4.0,1.0,7126.0,5012.0,974.0,0.0
70751.0,64.0,1.0,1.0,41.0,92268.0,1.0,9.0,0.0,1506.0,590.0,794.0,7.0
81870.0,60.0,0.0,1.0,100.0,58048.0,3.0,8.0,0.0,3632.0,5960.0,723.0,3.0
91559.0,36.0,0.0,1.0,21.0,82521.0,6.0,2.0,1.0,788.0,4788.0,132.0,8.0
72098.0,9.0,0.0,1.0,67.0,91168.0,2.0,3.0,0.0,9080.0,9356.0,740.0,9.0
23177.0,19.0,0.0,0.0,52.0,69373.0,4.0,1.0,0.0,2706.0,4593.0,648.0,6.0
39517.0,92.0,0.0,0.0,85.0,51212.0,4.0,6.0,1.0,7618.0,1172.0,810.0,9.0
55232.0,23.0,0.0,0.0,8.0,849.0,8.0,3.0,0.0,1492.0,5697.0,625.0,6.0
53735.0,49.0,0.0,1.0,92.0,2423.0,4.0,7.0,0.0,8654.0,9588.0,290.0,8.0
67753.0,72.0,1.0,1.0,78.0,31721.0,3.0,9.0,1.0,7480.0,2068.0,929.0,6.0
1450.0,59.0,0.0,0.0,1.0,2317.0,10.0,9.0,1.0,1285.0,8119.0,869.0,10.0
82141.0,93.0,1.0,1.0,61.0,74213.0,3.0,7.0,1.0,8785.0,6602.0,968.0,4.0
17868.0,73.0,1.0,0.0,35.0,48674.0,4.0,9.0,0.0,1718.0,5498.0,710.0,2.0
71397.0,71.0,0.0,0.0,93.0,68199.0,3.0,10.0,1.0,3477.0,5530.0,342.0,2.0
32623.0,35.0,0.0,1.0,14.0,80204.0,10.0,6.0,0.0,4633.0,7551.0,126.0,8.0
23841.0,71.0,1.0,1.0,25.0,32106.0,3.0,7.0,1.0,7590.0,5224.0,564.0,1.0
16495.0,94.0,0.0,0.0,6.0,90448.0,3.0,10.0,1.0,2214.0,1464.0,929.0,7.0
39109.0,24.0,1.0,0.0,67.0,74477.0,4.0,3.0,0.0,1642.0,2925.0,139.0,9.0
65151.0,81.0,1.0,1.0,3.0,66191.0,7.0,9.0,0.0,3218.0,9119.0,849.0,4.0
61484.0,91.0,1.0,0.0,94.0,87015.0,8.0,8.0,0.0,5486.0,3641.0,766.0,3.0
57160.0,15.0,1.0,1.0,43.0,40786.0,8.0,8.0,0.0,4018.0,4871.0,836.0,2.0
13346.0,57.0,0.0,0.0,57.0,30010.0,6.0,8.0,1.0,2525.0,545.0,809.0,8.0
27351.0,77.0,0.0,0.0,36.0,98465.0,4.0,1.0,1.0,1150.0,3100.0,812.0,0.0
18466.0,50.0,0.0,1.0,60.0,89670.0,5.0,2.0,0.0,2475.0,1376.0,568.0,5.0
45441.0,29.0,1.0,0.0,66.0,21239.0,3.0,5.0,1.0,8121.0,2996.0,853.0,6.0
55933.0,15.0,0.0,0.0,97.0,5800.0,9.0,8.0,1.0,7369.0,6739.0,686.0,6.0
81936.0,68.0,0.0,0.0,92.0,6143.0,3.0,1.0,0.0,6393.0,9082.0,734.0,0.0
18237.0,70.0,1.0,0.0,74.0,25093.0,9.0,6.0,0.0,7173.0,9144.0,498.0,9.0
35631.0,54.0,1.0,0.0,7.0,77355.0,10.0,6.0,1.0,216.0,1339.0,775.0,10.0
99683.0,12.0,1.0,0.0,77.0,18300.0,5.0,8.0,1.0,4034.0,2877.0,787.0,6.0
47664.0,44.0,0.0,0.0,77.0,98008.0,6.0,3.0,1.0,2662.0,5433.0,417.0,6.0
62887.0,45.0,0.0,1.0,7.0,91125.0,4.0,3.0,0.0,292.0,744.0,675.0,4.0
18470.0,20.0,1.0,1.0,73.0,9406.0,3.0,1.0,0.0,4089.0,9245.0,905.0,6.0
36031.0,63.0,1.0,0.0,47.0,74698.0,9.0,8.0,1.0,9701.0,1325.0,514.0,4.0
22776.0,84.0,0.0,0.0,5.0,82401.0,9.0,9.0,1.0,2422.0,1918.0,544.0,7.0
14830.0,81.0,1.0,0.0,1.0,17641.0,1.0,10.0,0.0,6151.0,1651.0,243.0,9.0
43944.0,40.0,1.0,0.0,69.0,5581.0,10.0,5.0,1.0,7466.0,6556.0,735.0,6.0
73062.0,34.0,1.0,1.0,38.0,44770.0,4.0,8.0,0.0,9823.0,7174.0,728.0,0.0
84284.0,76.0,0.0,0.0,39.0,55723.0,5.0,1.0,0.0,4500.0,4877.0,480.0,6.0
9619.0,66.0,1.0,0.0,91.0,82543.0,9.0,5.0,1.0,1069.0,3823.0,927.0,10.0
11410.0,96.0,0.0,1.0,96.0,85454.0,8.0,3.0,1.0,1466.0,3642.0,933.0,1.0
29855.0,63.0,0.0,0.0,23.0,78080.0,5.0,5.0,1.0,3861.0,7495.0,204.0,6.0
46716.0,94.0,0.0,0.0,58.0,25303.0,8.0,5.0,1.0,1361.0,6855.0,409.0,3.0
77046.0,69.0,1.0,0.0,85.0,43517.0,4.0,2.0,1.0,8135.0,1401.0,648.0,3.0
58855.0,1.0,0.0,0.0,66.0,20127.0,3.0,7.0,1.0,2267.0,3070.0,531.0,3.0
69165.0,66.0,1.0,0.0,74.0,51371.0,4.0,4.0,1.0,1543.0,9736.0,939.0,9.0
57915.0,25.0,0.0,1.0,84.0,87517.0,10.0,4.0,1.0,3394.0,4287.0,640.0,5.0
66279.0,47.0,1.0,0.0,9.0,21934.0,3.0,2.0,1.0,5079.0,3156.0,128.0,10.0
16068.0,21.0,1.0,0.0,13.0,21716.0,8.0,8.0,1.0,8893.0,2564.0,463.0,2.0
74325.0,50.0,1.0,1.0,58.0,91978.0,8.0,10.0,1.0,4008.0,1952.0,275.0,5.0
35742.0,46.0,1.0,1.0,47.0,84138.0,7.0,1.0,1.0,1732.0,6019.0,243.0,7.0
9026.0,51.0,1.0,0.0,28.0,85842.0,1.0,5.0,0.0,779.0,9037.0,482.0,10.0
16899.0,19.0,0.0,1.0,14.0,47328.0,2.0,4.0,1.0,5710.0,907.0,302.0,7.0
99854.0,82.0,0.0,0.0,64.0,82741.0,3.0,8.0,1.0,4827.0,2626.0,918.0,7.0
33743.0,56.0,1.0,1.0,29.0,21945.0,10.0,8.0,1.0,7330.0,3012.0,345.0,6.0
72798.0,22.0,1.0,1.0,30.0,61212.0,9.0,3.0,0.0,2209.0,2120.0,637.0,7.0
86492.0,21.0,0.0,0.0,86.0,42450.0,3.0,7.0,0.0,7843.0,5348.0,463.0,0.0
38937.0,35.0,0.0,1.0,77.0,2867.0,2.0,6.0,1.0,1312.0,1272.0,794.0,1.0
24762.0,22.0,0.0,1.0,62.0,50367.0,10.0,10.0,1.0,5264.0,3986.0,502.0,1.0
91047.0,45.0,0.0,0.0,65.0,41065.0,8.0,2.0,0.0,7241.0,1060.0,757.0,1.0
55527.0,64.0,0.0,1.0,44.0,61931.0,4.0,2.0,1.0,9385.0,9507.0,786.0,9.0
70606.0,17.0,1.0,1.0,79.0,38.0,7.0,3.0,0.0,4927.0,1285.0,197.0,5.0
67327.0,47.0,0.0,0.0,87.0,26709.0,9.0,3.0,1.0,1097.0,8551.0,964.0,10.0
6125.0,90.0,0.0,1.0,29.0,95979.0,1.0,2.0,1.0,6423.0,7934.0,846.0,10.0
71833.0,37.0,0.0,1.0,51.0,58147.0,2.0,5.0,0.0,3772.0,2045.0,580.0,6.0
20811.0,98.0,1.0,1.0,71.0,91543.0,1.0,4.0,1.0,112.0,53.0,586.0,3.0
7643.0,98.0,0.0,0.0,63.0,5989.0,2.0,3.0,0.0,2142.0,7748.0,983.0,7.0
16669.0,95.0,1.0,1.0,81.0,15949.0,4.0,3.0,1.0,6109.0,1409.0,239.0,1.0
84006.0,73.0,1.0,1.0,97.0,54296.0,4.0,7.0,0.0,9698.0,6310.0,837.0,4.0
34059.0,49.0,0.0,0.0,90.0,63489.0,4.0,8.0,1.0,4138.0,5337.0,347.0,2.0
36131.0,95.0,0.0,0.0,88.0,72385.0,8.0,8.0,0.0,1046.0,8463.0,331.0,8.0
8201.0,18.0,1.0,1.0,66.0,38920.0,7.0,2.0,0.0,4949.0,5811.0,185.0,6.0
38398.0,84.0,0.0,0.0,22.0,44513.0,6.0,8.0,0.0,1618.0,9458.0,404.0,8.0
38833.0,10.0,0.0,0.0,14.0,28075.0,4.0,3.0,1.0,1828.0,7626.0,462.0,8.0
41488.0,22.0,0.0,0.0,59.0,2019.0,9.0,1.0,1.0,2090.0,4438.0,650.0,3.0
5205.0,2.0,0.0,0.0,15.0,71289.0,7.0,3.0,0.0,8342.0,4705.0,742.0,0.0
45066.0,28.0,0.0,0.0,62.0,85825.0,9.0,5.0,0.0,7092.0,6757.0,924.0,0.0
63875.0,53.0,1.0,1.0,14.0,54408.0,7.0,3.0,0.0,4139.0,7178.0,152.0,6.0
25052.0,88.0,0.0,0.0,94.0,1083.0,8.0,6.0,1.0,718.0,6346.0,703.0,10.0
51457.0,64.0,0.0,1.0,32.0,68294.0,3.0,10.0,0.0,3016.0,1891.0,633.0,4.0
84396.0,64.0,0.0,0.0,96.0,88421.0,6.0,7.0,1.0,7416.0,6190.0,593.0,2.0
64920.0,98.0,0.0,1.0,63.0,1173.0,8.0,8.0,0.0,2287.0,8181.0,426.0,6.0
9166.0,4.0,1.0,0.0,16.0,26610.0,4.0,1.0,1.0,6838.0,9438.0,842.0,8.0
85558.0,48.0,1.0,0.0,83.0,55318.0,2.0,9.0,1.0,7997.0,655.0,374.0,0.0
87267.0,75.0,1.0,0.0,81.0,57714.0,6.0,10.0,0.0,6899.0,1628.0,666.0,4.0
96091.0,100.0,0.0,1.0,24.0,99874.0,10.0,3.0,0.0,6546.0,4094.0,373.0,6.0
38003.0,98.0,1.0,0.0,6.0,49191.0,8.0,10.0,0.0,9981.0,6500.0,129.0,2.0
83120.0,97.0,0.0,1.0,68.0,93953.0,6.0,6.0,1.0,15.0,4581.0,481.0,1.0
20468.0,100.0,1.0,0.0,34.0,63924.0,6.0,4.0,1.0,9659.0,6233.0,802.0,0.0
75152.0,91.0,1.0,0.0,37.0,61836.0,3.0,3.0,0.0,4717.0,5685.0,412.0,2.0
32688.0,9.0,1.0,1.0,18.0,86166.0,6.0,5.0,1.0,9089.0,6967.0,398.0,7.0
45868.0,72.0,1.0,1.0,69.0,33082.0,5.0,7.0,1.0,7668.0,9908.0,216.0,10.0
73900.0,69.0,0.0,1.0,36.0,57473.0,4.0,3.0,0.0,9847.0,6227.0,140.0,4.0
16000.0,41.0,1.0,1.0,25.0,86898.0,9.0,4.0,1.0,7228.0,764.0,138.0,6.0
1423.0,59.0,0.0,1.0,30.0,21687.0,8.0,4.0,1.0,3900.0,1985.0,879.0,8.0
29951.0,37.0,1.0,1.0,13.0,56604.0,6.0,8.0,1.0,5692.0,9582.0,762.0,0.0
40231.0,84.0,0.0,1.0,41.0,64474.0,4.0,5.0,0.0,5700.0,303.0,758.0,0.0
59517.0,38.0,1.0,0.0,69.0,93928.0,8.0,8.0,0.0,6831.0,2741.0,727.0,6.0
98969.0,26.0,1.0,0.0,69.0,36941.0,10.0,8.0,0.0,3744.0,5809.0,992.0,5.0
99177.0,49.0,0.0,0.0,41.0,5100.0,6.0,10.0,1.0,6326.0,6738.0,429.0,3.0
89157.0,46.0,0.0,0.0,42.0,34482.0,3.0,6.0,1.0,3510.0,781.0,290.0,4.0
67429.0,60.0,0.0,1.0,24.0,89820.0,8.0,7.0,0.0,3578.0,3600.0,858.0,1.0
38431.0,57.0,1.0,0.0,60.0,69199.0,9.0,3.0,0.0,4121.0,3307.0,374.0,8.0
72495.0,76.0,1.0,1.0,59.0,8723.0,8.0,10.0,0.0,3413.0,2245.0,254.0,0.0
85362.0,77.0,1.0,0.0,19.0,40604.0,6.0,5.0,0.0,7728.0,8516.0,186.0,4.0
28597.0,93.0,0.0,0.0,47.0,16237.0,3.0,9.0,0.0,4492.0,270.0,714.0,8.0
13687.0,36.0,1.0,1.0,93.0,2400.0,3.0,5.0,1.0,4148.0,6383.0,590.0,5.0
50479.0,3.0,0.0,1.0,73.0,39939.0,5.0,9.0,0.0,4149.0,6785.0,188.0,5.0
98121.0,38.0,0.0,1.0,57.0,20289.0,7.0,4.0,1.0,6028.0,8690.0,275.0,2.0
57736.0,16.0,0.0,0.0,21.0,83855.0,9.0,6.0,1.0,6099.0,1511.0,588.0,2.0
30356.0,40.0,0.0,0.0,85.0,13378.0,7.0,1.0,0.0,7660.0,774.0,551.0,8.0
21141.0,38.0,0.0,1.0,80.0,65184.0,10.0,3.0,1.0,169.0,8853.0,697.0,10.0
98122.0,34.0,0.0,0.0,7.0,80176.0,7.0,4.0,1.0,7125.0,7272.0,186.0,5.0
34746.0,12.0,1.0,0.0,15.0,57668.0,10.0,5.0,0.0,2840.0,3137.0,377.0,4.0
17297.0,43.0,1.0,1.0,19.0,99289.0,7.0,5.0,1.0,3216.0,5586.0,243.0,2.0
80324.0,47.0,1.0,1.0,7.0,20394.0,3.0,2.0,1.0,325.0,3203.0,109.0,9.0
15815.0,13.0,1.0,1.0,2.0,2179.0,7.0,1.0,0.0,637.0,7880.0,552.0,4.0
1066.0,5.0,1.0,1.0,46.0,65388.0,4.0,9.0,1.0,2723.0,9228.0,524.0,5.0
79275.0,95.0,0.0,1.0,67.0,13000.0,5.0,9.0,1.0,3689.0,7215.0,132.0,3.0
20658.0,7.0,1.0,1.0,48.0,80216.0,4.0,10.0,0.0,8080.0,9560.0,341.0,10.0
8687.0,88.0,0.0,1.0,64.0,2052.0,3.0,6.0,1.0,7414.0,6075.0,710.0,3.0
69638.0,42.0,1.0,1.0,63.0,89878.0,1.0,2.0,0.0,4703.0,7032.0,937.0,6.0
94036.0,18.0,0.0,0.0,19.0,79418.0,10.0,9.0,1.0,5913.0,178.0,986.0,10.0
60889.0,72.0,0.0,0.0,87.0,55928.0,6.0,8.0,0.0,7437.0,4833.0,131.0,7.0
11680.0,21.0,0.0,0.0,14.0,5324.0,10.0,1.0,0.0,7478.0,6846.0,921.0,6.0
11458.0,96.0,1.0,1.0,31.0,95286.0,9.0,5.0,0.0,1365.0,3757.0,321.0,6.0
20397.0,67.0,0.0,0.0,79.0,29406.0,8.0,7.0,0.0,705.0,4914.0,898.0,3.0
83206.0,34.0,1.0,0.0,51.0,27565.0,9.0,9.0,0.0,9170.0,9694.0,327.0,9.0
8951.0,11.0,1.0,0.0,63.0,32412.0,1.0,10.0,0.0,6189.0,2892.0,626.0,1.0
22854.0,41.0,1.0,0.0,89.0,74420.0,4.0,7.0,1.0,6216.0,521.0,481.0,0.0
46042.0,52.0,0.0,0.0,74.0,45861.0,9.0,8.0,0.0,65.0,9506.0,946.0,5.0
93506.0,20.0,1.0,0.0,28.0,7068.0,8.0,9.0,0.0,5297.0,1410.0,306.0,8.0
58748.0,76.0,0.0,0.0,40.0,20761.0,2.0,5.0,1.0,1627.0,996.0,639.0,2.0
715.0,71.0,0.0,0.0,23.0,33439.0,7.0,3.0,1.0,8609.0,3736.0,740.0,8.0
55327.0,22.0,1.0,0.0,59.0,76622.0,1.0,2.0,1.0,7163.0,9333.0,504.0,8.0
63631.0,84.0,1.0,0.0,12.0,31269.0,6.0,10.0,0.0,239.0,1952.0,411.0,4.0
77915.0,99.0,0.0,0.0,21.0,63942.0,5.0,10.0,1.0,1081.0,9015.0,448.0,4.0
91804.0,5.0,0.0,0.0,81.0,87339.0,3.0,9.0,1.0,8554.0,1275.0,930.0,8.0
57295.0,95.0,0.0,0.0,69.0,32081.0,2.0,2.0,1.0,9771.0,9634.0,951.0,7.0
61057.0,65.0,1.0,0.0,77.0,17051.0,9.0,8.0,0.0,9762.0,545.0,369.0,6.0
91626.0,83.0,1.0,0.0,55.0,59173.0,4.0,5.0,1.0,2684.0,784.0,101.0,8.0
29356.0,96.0,1.0,1.0,46.0,4864.0,4.0,9.0,1.0,1780.0,393.0,413.0,3.0
27134.0,62.0,1.0,0.0,2.0,1498.0,7.0,7.0,0.0,3718.0,9140.0,357.0,3.0
1682.0,65.0,1.0,0.0,79.0,7602.0,2.0,3.0,1.0,2590.0,425.0,659.0,4.0
98868.0,41.0,0.0,1.0,67.0,85917.0,7.0,3.0,1.0,2146.0,1077.0,623.0,3.0
23898.0,62.0,1.0,0.0,93.0,73176.0,9.0,9.0,1.0,8256.0,4656.0,136.0,1.0
83110.0,43.0,1.0,0.0,75.0,55046.0,7.0,10.0,0.0,4108.0,5663.0,380.0,7.0
71154.0,67.0,0.0,1.0,53.0,8762.0,2.0,6.0,1.0,8418.0,7187.0,706.0,8.0
90841.0,48.0,1.0,0.0,15.0,25300.0,6.0,5.0,0.0,3333.0,149.0,842.0,9.0
68416.0,87.0,1.0,0.0,48.0,60979.0,8.0,7.0,0.0,1811.0,6776.0,424.0,6.0
47585.0,95.0,0.0,0.0,5.0,81532.0,5.0,1.0,1.0,5101.0,89.0,639.0,0.0
28452.0,79.0,1.0,0.0,40.0,79918.0,4.0,10.0,1.0,388.0,1889.0,566.0,2.0
15630.0,78.0,1.0,0.0,4.0,98750.0,7.0,3.0,0.0,7084.0,4158.0,225.0,0.0
65900.0,36.0,1.0,1.0,99.0,27819.0,1.0,5.0,1.0,2637.0,1038.0,452.0,1.0
