age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,contact,month,day_of_week,poutcome,target_campaign,target_personal_loan,target_housing_loan
57.0,188.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,5,2,5,0,1,6,1,1,no,no,yes
52.0,809.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,1,1,2,0,0,1,0,1,yes,no,no
34.0,192.0,1.0,999.0,0.0,-2.9,92.963,-40.8,1.26,5076.2,4,1,6,0,1,4,4,1,no,yes,yes
42.0,154.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,0,1,6,3,1,no,no,yes
56.0,317.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.244,5099.1,5,1,3,0,0,6,1,1,no,no,no
41.0,93.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,4,1,6,0,0,6,2,1,no,no,yes
44.0,111.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,0,1,3,0,0,1,0,1,no,no,yes
50.0,293.0,3.0,3.0,1.0,-1.8,92.893,-46.2,1.354,5099.1,1,1,1,0,0,6,1,2,yes,no,yes
54.0,119.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,6,1,3,0,0,1,3,1,no,no,no
51.0,393.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,1,1,1,0,0,1,0,1,no,no,no
30.0,30.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,1,2,2,0,0,7,4,1,no,no,no
47.0,187.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,7,2,2,0,0,7,3,1,no,no,no
35.0,113.0,1.0,999.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,1,1,1,0,0,0,0,0,no,no,yes
58.0,64.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,1,1,2,0,0,7,3,0,no,no,no
50.0,629.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1,0,3,0,0,3,1,1,yes,yes,yes
41.0,92.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,9,1,5,0,1,6,3,1,no,no,no
38.0,147.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.334,5099.1,9,1,6,0,0,6,4,1,no,no,yes
32.0,151.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,8,2,6,0,0,7,2,1,no,no,no
21.0,259.0,1.0,999.0,1.0,-2.9,92.201,-31.4,0.884,5076.2,8,2,3,0,0,1,3,0,no,no,no
42.0,888.0,3.0,999.0,0.0,-0.1,93.2,-42.0,4.021,5195.8,6,1,6,0,0,7,0,1,no,no,yes
55.0,76.0,13.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,7,1,2,0,0,1,4,1,no,no,no
29.0,207.0,1.0,6.0,1.0,-1.1,94.767,-50.8,1.05,4963.6,0,2,3,0,1,7,1,2,no,no,yes
53.0,63.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,4,1,0,0,0,7,4,1,no,no,yes
35.0,265.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,4,1,6,0,0,7,4,1,no,no,yes
46.0,273.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,7,1,5,0,1,6,3,1,no,no,yes
32.0,711.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,9,1,5,0,0,3,3,1,no,no,no
41.0,88.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,1,0,2,0,0,6,0,0,no,no,yes
28.0,72.0,3.0,999.0,1.0,-1.8,92.893,-46.2,1.291,5099.1,0,1,6,0,0,6,3,0,no,no,no
24.0,113.0,6.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,7,2,6,0,0,3,2,1,no,no,no
30.0,39.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.97,5228.1,0,2,6,0,0,1,1,1,no,no,yes
22.0,154.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.957,5228.1,8,2,3,0,0,3,0,1,no,yes,no
32.0,126.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,2,2,6,0,0,7,2,1,no,yes,no
38.0,202.0,3.0,999.0,1.0,-1.8,92.893,-46.2,1.244,5099.1,9,2,5,0,0,6,1,0,no,no,yes
59.0,353.0,4.0,999.0,0.0,-1.8,93.075,-47.1,1.453,5099.1,5,1,0,0,1,0,3,1,no,no,no
31.0,159.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,1,6,4,1,no,no,yes
76.0,347.0,4.0,6.0,1.0,-3.4,92.649,-30.1,0.715,5017.5,5,2,0,0,0,7,1,2,yes,no,no
33.0,686.0,4.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,0,2,6,0,0,1,2,1,yes,no,yes
59.0,94.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,5,1,0,0,0,1,0,1,no,no,yes
28.0,225.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1,1,2,0,0,3,1,1,no,no,yes
33.0,474.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1,2,1,0,0,6,0,1,no,no,yes
41.0,377.0,6.0,999.0,0.0,-1.8,92.843,-50.0,1.778,5099.1,7,1,3,0,0,5,4,1,yes,no,no
35.0,126.0,4.0,999.0,0.0,1.4,93.918,-42.7,4.968,5228.1,9,1,5,0,0,3,2,1,no,no,no
53.0,313.0,4.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,4,1,6,0,0,1,1,1,no,no,no
35.0,141.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,9,2,5,0,0,6,2,1,no,no,yes
34.0,267.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,3,2,6,0,1,4,2,1,no,no,no
42.0,406.0,3.0,999.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0,1,2,0,1,0,1,0,no,no,no
36.0,151.0,3.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,6,1,2,0,0,7,2,1,no,yes,yes
44.0,228.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,1,3,0,1,6,4,1,no,no,no
50.0,73.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,0,0,6,0,0,1,3,1,no,no,yes
36.0,355.0,1.0,999.0,0.0,-3.4,92.379,-29.8,0.773,5017.5,0,1,6,0,0,9,0,1,no,no,yes
27.0,102.0,9.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,9,1,5,0,0,3,2,1,no,no,no
25.0,35.0,6.0,999.0,0.0,1.4,94.465,-41.8,4.96,5228.1,9,2,6,0,1,4,1,1,no,yes,yes
29.0,116.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,4,1,6,0,0,1,3,1,no,yes,yes
44.0,83.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,1,3,0,1,6,4,1,no,no,no
30.0,605.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,0,2,3,0,0,3,4,1,no,no,yes
37.0,585.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.967,5228.1,6,1,6,0,0,1,4,1,no,yes,yes
57.0,94.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,9,1,2,0,0,3,3,1,no,no,no
32.0,255.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,9,1,5,0,0,3,2,1,yes,no,yes
54.0,1868.0,2.0,10.0,1.0,-1.1,94.767,-50.8,1.035,4963.6,0,1,5,0,0,7,3,2,yes,no,no
58.0,846.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.97,5228.1,1,1,2,0,0,1,1,1,yes,no,yes
27.0,404.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,10,2,6,0,1,4,4,1,no,no,no
30.0,383.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,10,1,3,0,0,3,3,1,no,no,yes
42.0,51.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,1,1,0,0,1,6,4,1,no,no,no
48.0,87.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,3,1,3,0,1,4,3,1,no,no,no
35.0,167.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.97,5228.1,0,2,6,0,0,1,1,1,no,no,no
30.0,151.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,7,1,3,0,1,4,1,1,no,no,no
28.0,48.0,4.0,999.0,1.0,-1.8,93.075,-47.1,1.41,5099.1,9,2,3,0,0,0,2,0,no,yes,yes
30.0,288.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,0,2,6,0,0,7,3,1,no,no,yes
27.0,111.0,1.0,999.0,0.0,-1.7,94.027,-38.3,0.9,4991.6,8,2,2,0,0,1,4,1,no,no,yes
23.0,87.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,2,1,6,0,0,1,2,1,no,no,yes
31.0,209.0,1.0,999.0,2.0,-1.7,94.027,-38.3,0.898,4991.6,6,2,6,0,0,1,1,0,no,no,no
43.0,173.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,6,1,2,0,1,6,4,1,no,no,no
52.0,503.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,9,1,3,0,1,6,1,1,no,no,yes
24.0,101.0,6.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,1,2,0,1,6,0,1,no,yes,yes
35.0,370.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.076,5195.8,1,2,1,0,0,7,2,0,no,no,no
59.0,1207.0,4.0,999.0,1.0,-1.7,94.055,-39.8,0.742,4991.6,9,1,5,0,0,4,2,0,yes,no,no
37.0,211.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,0,1,6,4,1,no,no,no
46.0,609.0,1.0,999.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0,1,5,0,0,0,0,0,no,no,no
26.0,806.0,3.0,6.0,2.0,-1.7,94.215,-40.3,0.861,4991.6,9,2,6,0,0,3,0,2,yes,no,yes
